width,height,max_iter,c_real,c_imag,cpu_ms,opencl_ms,speedup
//Fix iteráció (500) - Felbontás hatása (800 x 600)
2560,1440,1000,-0.7000000000,0.2701500000,3407.127197,992.017822,3.434542
2560,1440,1000,-0.7000000000,0.2701500000,3708.413086,1046.914795,3.542230

//Fix felbontás (3840 x 2160) - Iteráció hatása (100)
3840,2160,100,-0.7000000000,0.2701500000,4988.196045,1111.177979,4.489106
3840,2160,100,-0.7000000000,0.2701500000,3308.493896,956.554932,3.458760
3840,2160,100,-0.7000000000,0.2701500000,3422.129150,863.090820,3.964970
3840,2160,100,-0.7000000000,0.2701500000,3389.083984,955.281982,3.547732
3840,2160,100,-0.7000000000,0.2701500000,3536.593994,909.828857,3.887098
3840,2160,100,-0.7000000000,0.2701500000,3237.048096,1002.482910,3.229031
3840,2160,100,-0.7000000000,0.2701500000,3615.557861,989.203125,3.655021
3840,2160,100,-0.7000000000,0.2701500000,3143.671143,926.001953,3.394886
3840,2160,100,-0.7000000000,0.2701500000,3232.395996,830.532227,3.891957
3840,2160,100,-0.7000000000,0.2701500000,3318.514893,1003.206055,3.307910

//Fix felbontás (3840 x 2160) - Iteráció hatása (300)
3840,2160,300,-0.7000000000,0.2701500000,5754.001953,1026.949951,5.603001
3840,2160,300,-0.7000000000,0.2701500000,6089.277832,1064.544189,5.720080
3840,2160,300,-0.7000000000,0.2701500000,6351.107910,1065.175049,5.962502
3840,2160,300,-0.7000000000,0.2701500000,7838.937988,1004.058105,7.807255
3840,2160,300,-0.7000000000,0.2701500000,6356.929932,1064.238037,5.973222
3840,2160,300,-0.7000000000,0.2701500000,7709.982910,1099.713135,7.010904
3840,2160,300,-0.7000000000,0.2701500000,6424.410156,971.511963,6.612796
3840,2160,300,-0.7000000000,0.2701500000,6146.399902,1052.757080,5.838384
3840,2160,300,-0.7000000000,0.2701500000,6738.398926,815.926025,8.258591
3840,2160,300,-0.7000000000,0.2701500000,6772.470947,793.224121,8.537903

//Fix felbontás (3840 x 2160) - Iteráció hatása (1000)
3840,2160,1000,-0.7000000000,0.2701500000,7794.678955,1005.979004,7.748352
3840,2160,1000,-0.7000000000,0.2701500000,8251.188232,1020.174805,8.088014
3840,2160,1000,-0.7000000000,0.2701500000,8262.663086,970.688965,8.512163
3840,2160,1000,-0.7000000000,0.2701500000,7603.965088,990.756836,7.674905
3840,2160,1000,-0.7000000000,0.2701500000,9125.054932,1025.328125,8.899644
3840,2160,1000,-0.7000000000,0.2701500000,8139.354980,1083.113037,7.514779
3840,2160,1000,-0.7000000000,0.2701500000,8526.891113,957.063965,8.909427
3840,2160,1000,-0.7000000000,0.2701500000,8203.281982,989.135986,8.293381
3840,2160,1000,-0.7000000000,0.2701500000,8190.666992,976.196045,8.390391
3840,2160,1000,-0.7000000000,0.2701500000,8108.565918,1017.987061,7.965294
